,rank,tax_id,tax_name,colind,CC11CM49,CC11CM22,CC11CM5,CC11CM20,CC11CM12,CC11CM68,CC11CM2,CC11CM58,CC11CM95,CC11CM17,CC11CM87,CC11CM48,CC11CM35,CC11CM66,CC11CM1,CC11CM84,CC11CM21,CC11CM39,CC11CM0,CC11CM63,CC11CM44,CC11CM55,CC11CM41,CC11CM25,CC11CM69,CC11CM11,CC11CM89,CC11CM96,CC11CM47,CC11CM40,CC11CM83,CC11CM15,CC11CM70,CC11CM73,CC11CM7,CC11CM33,CC11CM18,CC11CM98,CC11CM36,CC11CM8,CC11CM82,CC11CM26,CC11CM9,CC11CM94,CC11CM78,CC11CM81,CC11CM38,CC11CM75,CC11CM28,CC11CM32,CC11CM88,CC11CM54,CC11CM16,CC11CM4,CC11CM67,CC11CM27,CC11CM79,CC11CM72,CC11CM42,CC11CM76,CC11CM77,CC11CM57,CC11CM56,CC11CM62,CC11CM99,CC11CM64,CC11CM37,CC11CM10,CC11CM97,CC11CM93,CC11CM23,CC11CM61,CC11CM14,CC11CM59,CC11CM60,CC11CM46,CC11CM45,CC11CM53,CC11CM6,CC11CM43,CC11CM71,CC11CM3,CC11CM86,CC11CM29,CC11CM31,CC11CM30,CC11CM19,CC11CM85,CC11CM80,CC11CM24,CC11CM52,CC11CM91,CC11CM90,CC11CM13,CC11CM92,CC11CM51,CC11CM65,CC11CM74,CC11CM34,CC11CM50
0,genus,816,Bacteroides,AB490802.1.1477,825.0,,990.0,,,,,,,,,,,,,,,980.0,,,,,,,,,,,,2748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343.0,,,,,,,,71.0,,,,,
1,phylum,976,Bacteroidetes,AB547659.1.1435,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,genus,816,Bacteroides,AB574480.1.1486,1201.0,,,,,,,,,,,,,,,,,,,,,,,,1185.0,,,,,,,,,483.0,,,,,,,,2015.0,,,,321.0,,,,,,,1385.0,1022.0,,,,,,,,,,,,,,,,,,,,,,,,,966.0,,,,,,,,,,,,,,,,,,,,,
3,genus,816,Bacteroides,AB626629.1.1489,1416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.0,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5267.0,,,,,,,,,,,,,48.0,,,,918.0,
4,genus,1506553,Lachnoclostridium,AB698914.1.1392,470.0,,,,,,,,,,,,,,,,360.0,,,,,68.0,128.0,73.0,,45.0,,56.0,30.0,,,,,,,265.0,200.0,,235.0,,,,,,,,,,227.0,,,,,,,,92.0,53.0,,281.0,382.0,,147.0,46.0,,,14.0,,650.0,,,,,94.0,426.0,,221.0,,,,,82.0,,337.0,50.0,319.0,,,,,,,,,,,126.0,,,
5,genus,1506553,Lachnoclostridium,AB702934.1.1497,1922.0,,,,,,,130.0,,,,,,,,1565.0,,,,,,,,,,,,,1148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.0,,,,,334.0,,,,,,,,,,,,,,1031.0,,1788.0,,,,,,,,,,1636.0,,
6,family,543,Enterobacteriaceae,AB741687.1.1324,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,genus,653683,Anaerosporobacter,ABAX03000023.15601.17123,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.0,,,,,,,,775.0,,,,,,,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,1210.0,,,,,,,,
8,genus,838,Prevotella,ACIJ02000018.407302.408819,747.0,701.0,,,,,2637.0,,,,,,2712.0,,41.0,,,,,,,,,919.0,,373.0,1431.0,,,,,,,,,,,,,,1357.0,,,,,,731.0,,,,,,1668.0,,,,,,,,938.0,,1357.0,,656.0,,,52.0,,,,,617.0,,,,256.0,,,,,,,,,,418.0,,,,,436.0,,,,,,,,
9,order,1970189,Marinilabiliales,ADLD01000012.328.1844,3143.0,,,,,,,,,,,,,,,,,,,,,,249.0,,,,,,,,,,7103.0,,,,,,,,,,,,,7259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
